text_clean;text_tokens
beli tiket nonton ga perlu antri dan ga perlu khawatir ga kebagian tempat duduk favorit aplikasi yang sangat membantu good job;['beli', 'tiket', 'nonton', 'ga', 'perlu', 'antri', 'dan', 'ga', 'perlu', 'khawatir', 'ga', 'kebagian', 'tempat', 'duduk', 'favorit', 'aplikasi', 'yang', 'sangat', 'membantu', 'good', 'job']
mantap kalo bisa biayanya per transaksi aja jangan per orang supaya lebih terjangkau dan bersaing dengan yang lain;['mantap', 'kalo', 'bisa', 'biayanya', 'per', 'transaksi', 'aja', 'jangan', 'per', 'orang', 'supaya', 'lebih', 'terjangkau', 'dan', 'bersaing', 'dengan', 'yang', 'lain']
sangat membantu dlm pemesanan tiket ketika perjalanan ke bioskop cukup memakan waktu dgn tix id tdk perlu tergesa gesa lagi di perjalanan krn tiket sdh dipesan;['sangat', 'membantu', 'dlm', 'pemesanan', 'tiket', 'ketika', 'perjalanan', 'ke', 'bioskop', 'cukup', 'memakan', 'waktu', 'dgn', 'tix', 'id', 'tdk', 'perlu', 'tergesa', 'gesa', 'lagi', 'di', 'perjalanan', 'krn', 'tiket', 'sdh', 'dipesan']
kasi bintang saja dlu ya krn sangat membantu tapi kadang keluar sendiri setelah pilih kursi jadi harus ngulang dari awal lagi;['kasi', 'bintang', 'saja', 'dlu', 'ya', 'krn', 'sangat', 'membantu', 'tapi', 'kadang', 'keluar', 'sendiri', 'setelah', 'pilih', 'kursi', 'jadi', 'harus', 'ngulang', 'dari', 'awal', 'lagi']
promo disc tiket kedua hanya hari des tapi knpa pada ringkasan order tidak muncul padahal saya sudah mulai ikuti promo jam tolong tingkatkan lagi performa ini ya klau begini cust pasti kecewa krna di layar utama tertera promo gtu di pesan harganya normal terima kasih;['promo', 'disc', 'tiket', 'kedua', 'hanya', 'hari', 'des', 'tapi', 'knpa', 'pada', 'ringkasan', 'order', 'tidak', 'muncul', 'padahal', 'saya', 'sudah', 'mulai', 'ikuti', 'promo', 'jam', 'tolong', 'tingkatkan', 'lagi', 'performa', 'ini', 'ya', 'klau', 'begini', 'cust', 'pasti', 'kecewa', 'krna', 'di', 'layar', 'utama', 'tertera', 'promo', 'gtu', 'di', 'pesan', 'harganya', 'normal', 'terima', 'kasih']
selalu minta pembaruan setelah diperbarui gak ada fitur yang nambah cuma habisin memori ram saja ukuran app nya semakin lama semakin besar promo pun sudah jarang;['selalu', 'minta', 'pembaruan', 'setelah', 'diperbarui', 'gak', 'ada', 'fitur', 'yang', 'nambah', 'cuma', 'habisin', 'memori', 'ram', 'saja', 'ukuran', 'app', 'nya', 'semakin', 'lama', 'semakin', 'besar', 'promo', 'pun', 'sudah', 'jarang']
error gak bisa dibuka mentok logo katanya ada masalah disuruh coba lagi nanti tapi lama amat gak kelar masalahnya udah ditungguin dan dicoba berkalikali udah di uninstallinstall ulang cache udah dibersihin udah restart juga berkalikali tetep aja gak bisa jalan dan ini bukan pertama kalinya aplikasi ini error dulu jg pernah tapi abis di uninstallinstall ulang jadi bener lagi dan bisa jalan nah kali ini bener segala cara udah dicoba tapi ttp gak bisa juga bikin senewen;['error', 'gak', 'bisa', 'dibuka', 'mentok', 'logo', 'katanya', 'ada', 'masalah', 'disuruh', 'coba', 'lagi', 'nanti', 'tapi', 'lama', 'amat', 'gak', 'kelar', 'masalahnya', 'udah', 'ditungguin', 'dan', 'dicoba', 'berkalikali', 'udah', 'di', 'uninstallinstall', 'ulang', 'cache', 'udah', 'dibersihin', 'udah', 'restart', 'juga', 'berkalikali', 'tetep', 'aja', 'gak', 'bisa', 'jalan', 'dan', 'ini', 'bukan', 'pertama', 'kalinya', 'aplikasi', 'ini', 'error', 'dulu', 'jg', 'pernah', 'tapi', 'abis', 'di', 'uninstallinstall', 'ulang', 'jadi', 'bener', 'lagi', 'dan', 'bisa', 'jalan', 'nah', 'kali', 'ini', 'bener', 'segala', 'cara', 'udah', 'dicoba', 'tapi', 'ttp', 'gak', 'bisa', 'juga', 'bikin', 'senewen']
promo nya ga jelas promo persen apaan di halaman bayar di suruh bayar full padahal masa aktif promo masih panjang dua kali kaya gini;['promo', 'nya', 'ga', 'jelas', 'promo', 'persen', 'apaan', 'di', 'halaman', 'bayar', 'di', 'suruh', 'bayar', 'full', 'padahal', 'masa', 'aktif', 'promo', 'masih', 'panjang', 'dua', 'kali', 'kaya', 'gini']
sudah searusnya pembayaran jangan opsi saja danakan tidak semua orang suka menggunakan pembayaran dengan dana walaupun ada promo diskon sudah x order coba cari pembayaran dengan yg lain ternyata tdk ada akhirya saya censel beralih ke applikasi yg lebih lengkap untuk pembayarannya apalagi diskon tidak harus jam tixid tidak rekomendasi kurang profesional dalam promo diskon dan pembayaran;['sudah', 'searusnya', 'pembayaran', 'jangan', 'opsi', 'saja', 'danakan', 'tidak', 'semua', 'orang', 'suka', 'menggunakan', 'pembayaran', 'dengan', 'dana', 'walaupun', 'ada', 'promo', 'diskon', 'sudah', 'x', 'order', 'coba', 'cari', 'pembayaran', 'dengan', 'yg', 'lain', 'ternyata', 'tdk', 'ada', 'akhirya', 'saya', 'censel', 'beralih', 'ke', 'applikasi', 'yg', 'lebih', 'lengkap', 'untuk', 'pembayarannya', 'apalagi', 'diskon', 'tidak', 'harus', 'jam', 'tixid', 'tidak', 'rekomendasi', 'kurang', 'profesional', 'dalam', 'promo', 'diskon', 'dan', 'pembayaran']
aku suka nonton bioskop dari pada rumah capek baru tempat duduk nya bisa pilih waktu dulu aku uda pernah nonton nama nya star wars dimedan harga nya murah banget baru dowonld lah ini enak loh thank you;['aku', 'suka', 'nonton', 'bioskop', 'dari', 'pada', 'rumah', 'capek', 'baru', 'tempat', 'duduk', 'nya', 'bisa', 'pilih', 'waktu', 'dulu', 'aku', 'uda', 'pernah', 'nonton', 'nama', 'nya', 'star', 'wars', 'dimedan', 'harga', 'nya', 'murah', 'banget', 'baru', 'dowonld', 'lah', 'ini', 'enak', 'loh', 'thank', 'you']
aplikasi pintar dan cerdas jadi tidak perlu antri dan menunggu film terlalu lama di bioskop dan bisa topup seperlunya tks tix id dan dana;['aplikasi', 'pintar', 'dan', 'cerdas', 'jadi', 'tidak', 'perlu', 'antri', 'dan', 'menunggu', 'film', 'terlalu', 'lama', 'di', 'bioskop', 'dan', 'bisa', 'topup', 'seperlunya', 'tks', 'tix', 'id', 'dan', 'dana']
sangat membantu memudahkan pesan tiket tanpa beranjak dari kursi dan tanpa taku gak kebagian kursi favorit didalam bioskopnya appnya mudah dan enak dilihat pertahankan dan tingkatkan fitur fiturnya;['sangat', 'membantu', 'memudahkan', 'pesan', 'tiket', 'tanpa', 'beranjak', 'dari', 'kursi', 'dan', 'tanpa', 'taku', 'gak', 'kebagian', 'kursi', 'favorit', 'didalam', 'bioskopnya', 'appnya', 'mudah', 'dan', 'enak', 'dilihat', 'pertahankan', 'dan', 'tingkatkan', 'fitur', 'fiturnya']
aplikasi yang sangat membantu untuk memesan tiket bioskop sehingga tidak perlu datang lebih awalatau tidak perlu takut kehabisan tiket mudah dan banyak voucher juga nice app;['aplikasi', 'yang', 'sangat', 'membantu', 'untuk', 'memesan', 'tiket', 'bioskop', 'sehingga', 'tidak', 'perlu', 'datang', 'lebih', 'awalatau', 'tidak', 'perlu', 'takut', 'kehabisan', 'tiket', 'mudah', 'dan', 'banyak', 'voucher', 'juga', 'nice', 'app']
aplikasi bagusbikin ga pengen antri lagi di bioskop cuma pemilihan bangkunya ga bisa acak kaya aplikasi sebelah harus pilih bangku yang disebelahnya udah terisi saran kalo bisa pilih bangkunya dibebaskan aja trus biaya adminnya jangan mahal kalo bisa free admin fee lah biar makin banyak yang pake aplikasinyahehee;['aplikasi', 'bagusbikin', 'ga', 'pengen', 'antri', 'lagi', 'di', 'bioskop', 'cuma', 'pemilihan', 'bangkunya', 'ga', 'bisa', 'acak', 'kaya', 'aplikasi', 'sebelah', 'harus', 'pilih', 'bangku', 'yang', 'disebelahnya', 'udah', 'terisi', 'saran', 'kalo', 'bisa', 'pilih', 'bangkunya', 'dibebaskan', 'aja', 'trus', 'biaya', 'adminnya', 'jangan', 'mahal', 'kalo', 'bisa', 'free', 'admin', 'fee', 'lah', 'biar', 'makin', 'banyak', 'yang', 'pake', 'aplikasinyahehee']
aplikasi yg sangat membantu apabila ingin menonton di bioskop namun ngga mau ribet ngantri untuk beli tiket cuma dateng print tiket ngga sampe menitselesai deh cinta bgt sama aplikasi ini;['aplikasi', 'yg', 'sangat', 'membantu', 'apabila', 'ingin', 'menonton', 'di', 'bioskop', 'namun', 'ngga', 'mau', 'ribet', 'ngantri', 'untuk', 'beli', 'tiket', 'cuma', 'dateng', 'print', 'tiket', 'ngga', 'sampe', 'menitselesai', 'deh', 'cinta', 'bgt', 'sama', 'aplikasi', 'ini']
takashi saja ulasan negatif ada positif jg ada problem bagi promo tiket buy get tapi bagus buat yg males ngantri tp sayang juga ada tambahan biaya jd lebih mahal dr ngantri harusnya lebih murah karena melayani diri sendiri alias gak pake petugas tellernya sekian dan terima kasih;['takashi', 'saja', 'ulasan', 'negatif', 'ada', 'positif', 'jg', 'ada', 'problem', 'bagi', 'promo', 'tiket', 'buy', 'get', 'tapi', 'bagus', 'buat', 'yg', 'males', 'ngantri', 'tp', 'sayang', 'juga', 'ada', 'tambahan', 'biaya', 'jd', 'lebih', 'mahal', 'dr', 'ngantri', 'harusnya', 'lebih', 'murah', 'karena', 'melayani', 'diri', 'sendiri', 'alias', 'gak', 'pake', 'petugas', 'tellernya', 'sekian', 'dan', 'terima', 'kasih']
ini kenapa ya tix id semenjak cgv masuk di tix promo nya suka gajelas sy beli tiket di jam tapi gaada potongan tolong dong ngasih promo yg niat;['ini', 'kenapa', 'ya', 'tix', 'id', 'semenjak', 'cgv', 'masuk', 'di', 'tix', 'promo', 'nya', 'suka', 'gajelas', 'sy', 'beli', 'tiket', 'di', 'jam', 'tapi', 'gaada', 'potongan', 'tolong', 'dong', 'ngasih', 'promo', 'yg', 'niat']
saya kasi bintang karna diskon nya tidak dapat digunakan padahal belum pernah saya pakai tapi pas ingin pakai tidak dapat potongan harga harga masi seperti semula terima kasih;['saya', 'kasi', 'bintang', 'karna', 'diskon', 'nya', 'tidak', 'dapat', 'digunakan', 'padahal', 'belum', 'pernah', 'saya', 'pakai', 'tapi', 'pas', 'ingin', 'pakai', 'tidak', 'dapat', 'potongan', 'harga', 'harga', 'masi', 'seperti', 'semula', 'terima', 'kasih']
waduh ini kenapa error katanya belum ada film tersedia apa gara promo tlng ditingakatkan peformanya jadinya php ini mah trus kenapa tiap pengguna mengulas jawabnya kirim email hub cust servis kenapa gak langsung dijawab aja disini untuk apa dong kolom komentar;['waduh', 'ini', 'kenapa', 'error', 'katanya', 'belum', 'ada', 'film', 'tersedia', 'apa', 'gara', 'promo', 'tlng', 'ditingakatkan', 'peformanya', 'jadinya', 'php', 'ini', 'mah', 'trus', 'kenapa', 'tiap', 'pengguna', 'mengulas', 'jawabnya', 'kirim', 'email', 'hub', 'cust', 'servis', 'kenapa', 'gak', 'langsung', 'dijawab', 'aja', 'disini', 'untuk', 'apa', 'dong', 'kolom', 'komentar']
maaf aku kurangin bintangnya awalnya membantu setelah lama kelamaan koq tanggalnya ga bisa update yah jd ga bisa booking tiket awal di uninstal trus instal ulang baru berubah tp setelah itu ga berubah ubah tetep di tanggal jd ga bisa beli untuk hari ini di tanggal gimana niih;['maaf', 'aku', 'kurangin', 'bintangnya', 'awalnya', 'membantu', 'setelah', 'lama', 'kelamaan', 'koq', 'tanggalnya', 'ga', 'bisa', 'update', 'yah', 'jd', 'ga', 'bisa', 'booking', 'tiket', 'awal', 'di', 'uninstal', 'trus', 'instal', 'ulang', 'baru', 'berubah', 'tp', 'setelah', 'itu', 'ga', 'berubah', 'ubah', 'tetep', 'di', 'tanggal', 'jd', 'ga', 'bisa', 'beli', 'untuk', 'hari', 'ini', 'di', 'tanggal', 'gimana', 'niih']
disuruh ganti sambungan karna ga aman setelah ganti sambungan tetap ga bisa ganti pakai wifi tetap ga bisa aneh tix id bobrok;['disuruh', 'ganti', 'sambungan', 'karna', 'ga', 'aman', 'setelah', 'ganti', 'sambungan', 'tetap', 'ga', 'bisa', 'ganti', 'pakai', 'wifi', 'tetap', 'ga', 'bisa', 'aneh', 'tix', 'id', 'bobrok']
kenapa promo diskon pembelian tiket pertama ga ada lagi sih apa karena kena pengaruh merge dengan cgv dan cinemaxx kah sebelumnya diskon pembelian tiket pertama selalu ada ntah kenapa sekarang lebih ke diskon minimum pembelian tiket kan kasihan yang masih jomblo pengen nonton sendiri dan kebetulan ga ada pacar atau temen yang bisa diajak tolong diadakan kembali sekarang mau nonton sendiri aja kudu pake mikir;['kenapa', 'promo', 'diskon', 'pembelian', 'tiket', 'pertama', 'ga', 'ada', 'lagi', 'sih', 'apa', 'karena', 'kena', 'pengaruh', 'merge', 'dengan', 'cgv', 'dan', 'cinemaxx', 'kah', 'sebelumnya', 'diskon', 'pembelian', 'tiket', 'pertama', 'selalu', 'ada', 'ntah', 'kenapa', 'sekarang', 'lebih', 'ke', 'diskon', 'minimum', 'pembelian', 'tiket', 'kan', 'kasihan', 'yang', 'masih', 'jomblo', 'pengen', 'nonton', 'sendiri', 'dan', 'kebetulan', 'ga', 'ada', 'pacar', 'atau', 'temen', 'yang', 'bisa', 'diajak', 'tolong', 'diadakan', 'kembali', 'sekarang', 'mau', 'nonton', 'sendiri', 'aja', 'kudu', 'pake', 'mikir']
sory ya saya kasih bintang soalnya rada gk stuju klo bayar adminya per tiket bukan per transaksi labih dari itu suka sih soalnya gk perlu ribet klo mau nonton;['sory', 'ya', 'saya', 'kasih', 'bintang', 'soalnya', 'rada', 'gk', 'stuju', 'klo', 'bayar', 'adminya', 'per', 'tiket', 'bukan', 'per', 'transaksi', 'labih', 'dari', 'itu', 'suka', 'sih', 'soalnya', 'gk', 'perlu', 'ribet', 'klo', 'mau', 'nonton']
ini aplikasi nya kenapa ya padahal baru di update pas mau dibuka selalu yang tertampil pemberitahuan oops ada kendala coba lagi beberapa saat kemudian kalau bicara koneksi bagus kok;['ini', 'aplikasi', 'nya', 'kenapa', 'ya', 'padahal', 'baru', 'di', 'update', 'pas', 'mau', 'dibuka', 'selalu', 'yang', 'tertampil', 'pemberitahuan', 'oops', 'ada', 'kendala', 'coba', 'lagi', 'beberapa', 'saat', 'kemudian', 'kalau', 'bicara', 'koneksi', 'bagus', 'kok']
gmana sih tix id udh ambil promo dan udah sukses malah ngga ada tiket nya dana udh trpotong cuma dapat sma doang tp tiketnya gak muncul;['gmana', 'sih', 'tix', 'id', 'udh', 'ambil', 'promo', 'dan', 'udah', 'sukses', 'malah', 'ngga', 'ada', 'tiket', 'nya', 'dana', 'udh', 'trpotong', 'cuma', 'dapat', 'sma', 'doang', 'tp', 'tiketnya', 'gak', 'muncul']
proses cepat mudah banyakin promo dong lebh sering promonya dan kuota promonya ditambah thanks;['proses', 'cepat', 'mudah', 'banyakin', 'promo', 'dong', 'lebh', 'sering', 'promonya', 'dan', 'kuota', 'promonya', 'ditambah', 'thanks']
semakin mudah memesan tiket banyak discont nya pula tolong di tingkatkan lagi supaya agar semua studio bisa pesan tiket dalam jangka waktu seminggu kedepan;['semakin', 'mudah', 'memesan', 'tiket', 'banyak', 'discont', 'nya', 'pula', 'tolong', 'di', 'tingkatkan', 'lagi', 'supaya', 'agar', 'semua', 'studio', 'bisa', 'pesan', 'tiket', 'dalam', 'jangka', 'waktu', 'seminggu', 'kedepan']
sangat kecewa untuk aplikasi ini saya transaksi sy pesan tiket dpt kode booking namun tdk ditukar notifiksi berhsil dan saldo tdk dikembalikan sya hrap bisa ada kebijakan utk lebih bagus lagi buat kdepanny;['sangat', 'kecewa', 'untuk', 'aplikasi', 'ini', 'saya', 'transaksi', 'sy', 'pesan', 'tiket', 'dpt', 'kode', 'booking', 'namun', 'tdk', 'ditukar', 'notifiksi', 'berhsil', 'dan', 'saldo', 'tdk', 'dikembalikan', 'sya', 'hrap', 'bisa', 'ada', 'kebijakan', 'utk', 'lebih', 'bagus', 'lagi', 'buat', 'kdepanny']
memudahkan hanya biaya transaksi aja yg memberatkan kalau bisa biaya transaksinya di turunkan menjadi hehehe any way thanks;['memudahkan', 'hanya', 'biaya', 'transaksi', 'aja', 'yg', 'memberatkan', 'kalau', 'bisa', 'biaya', 'transaksinya', 'di', 'turunkan', 'menjadi', 'hehehe', 'any', 'way', 'thanks']
gak bisa login ini padahal pass sama no hp benar sampe aku ubah pass berkali kali menggunakan pass yg baru tetep gagal login;['gak', 'bisa', 'login', 'ini', 'padahal', 'pass', 'sama', 'no', 'hp', 'benar', 'sampe', 'aku', 'ubah', 'pass', 'berkali', 'kali', 'menggunakan', 'pass', 'yg', 'baru', 'tetep', 'gagal', 'login']
tidak bisa buka apkikasi selalu ada tanda x peringatan sinyal tdk tersedia buka kembali nanti padahal sinyal kenceng banget buat internetan paketan full terus tuh;['tidak', 'bisa', 'buka', 'apkikasi', 'selalu', 'ada', 'tanda', 'x', 'peringatan', 'sinyal', 'tdk', 'tersedia', 'buka', 'kembali', 'nanti', 'padahal', 'sinyal', 'kenceng', 'banget', 'buat', 'internetan', 'paketan', 'full', 'terus', 'tuh']
knpa menginstal trus aplikasinya kenapa ga bisa di download hadehhh pdhal ak suka pesen tiket lebih mudah sm bisa lihat film yg akan tayang;['knpa', 'menginstal', 'trus', 'aplikasinya', 'kenapa', 'ga', 'bisa', 'di', 'download', 'hadehhh', 'pdhal', 'ak', 'suka', 'pesen', 'tiket', 'lebih', 'mudah', 'sm', 'bisa', 'lihat', 'film', 'yg', 'akan', 'tayang']
sangat membantu gak perlu antri dan gak perlu tkt kehabisan tiket tinggal ddk manis d rumah sambil pilih tmpt ddk aja sangat praktis dan efesien;['sangat', 'membantu', 'gak', 'perlu', 'antri', 'dan', 'gak', 'perlu', 'tkt', 'kehabisan', 'tiket', 'tinggal', 'ddk', 'manis', 'd', 'rumah', 'sambil', 'pilih', 'tmpt', 'ddk', 'aja', 'sangat', 'praktis', 'dan', 'efesien']
saya kasi satu bintang saja soalnya aplikasinya ngaco nih jaringannya udah bagus eh nggak bisa dibuka yg muncul malah jaringan anda tidak aman;['saya', 'kasi', 'satu', 'bintang', 'saja', 'soalnya', 'aplikasinya', 'ngaco', 'nih', 'jaringannya', 'udah', 'bagus', 'eh', 'nggak', 'bisa', 'dibuka', 'yg', 'muncul', 'malah', 'jaringan', 'anda', 'tidak', 'aman']
aplikasi tidak bs dibuka sambungan anda tidak aman silahkan ganti sambungan anda dan coba beberapa saat lagi sambungan apanya coba yg tidak aman gak jelas;['aplikasi', 'tidak', 'bs', 'dibuka', 'sambungan', 'anda', 'tidak', 'aman', 'silahkan', 'ganti', 'sambungan', 'anda', 'dan', 'coba', 'beberapa', 'saat', 'lagi', 'sambungan', 'apanya', 'coba', 'yg', 'tidak', 'aman', 'gak', 'jelas']
saya suka jika memesan tiket disini nyaman tidak antri dan banyak promo bisa pilih tempat duduk jadi saya kalau gak usah antri mudah lagi saya suka banget terima kasih ya txid;['saya', 'suka', 'jika', 'memesan', 'tiket', 'disini', 'nyaman', 'tidak', 'antri', 'dan', 'banyak', 'promo', 'bisa', 'pilih', 'tempat', 'duduk', 'jadi', 'saya', 'kalau', 'gak', 'usah', 'antri', 'mudah', 'lagi', 'saya', 'suka', 'banget', 'terima', 'kasih', 'ya', 'txid']
lebih murah biaya adminnya ketimbang mtix dan top up nya juga bisa sesuai hatga tiket aja g harus ada minimalotomatis g buang saldo juga;['lebih', 'murah', 'biaya', 'adminnya', 'ketimbang', 'mtix', 'dan', 'top', 'up', 'nya', 'juga', 'bisa', 'sesuai', 'hatga', 'tiket', 'aja', 'g', 'harus', 'ada', 'minimalotomatis', 'g', 'buang', 'saldo', 'juga']
kemaren saya pesen tiket film ke tixid udh gtu di batalkan gtau knp sblmnya saya sudah top up pake aplikasi dana srbensar rb tapi kan tiket saya di batalin trs ada pembeitauan uangnya sudah di kembalikan cuman saya cek ga ada;['kemaren', 'saya', 'pesen', 'tiket', 'film', 'ke', 'tixid', 'udh', 'gtu', 'di', 'batalkan', 'gtau', 'knp', 'sblmnya', 'saya', 'sudah', 'top', 'up', 'pake', 'aplikasi', 'dana', 'srbensar', 'rb', 'tapi', 'kan', 'tiket', 'saya', 'di', 'batalin', 'trs', 'ada', 'pembeitauan', 'uangnya', 'sudah', 'di', 'kembalikan', 'cuman', 'saya', 'cek', 'ga', 'ada']
yang saya sukain dari aplikasi ini mudah untuk top upnya buat beli tiketnya gampang banget gak perlu antri sumpahhh pas ada aplikasi ini saya nonton gak ribet makasih;['yang', 'saya', 'sukain', 'dari', 'aplikasi', 'ini', 'mudah', 'untuk', 'top', 'upnya', 'buat', 'beli', 'tiketnya', 'gampang', 'banget', 'gak', 'perlu', 'antri', 'sumpahhh', 'pas', 'ada', 'aplikasi', 'ini', 'saya', 'nonton', 'gak', 'ribet', 'makasih']
sangat praktis pilih film pilih tempat duduk pesanbener bener menyenangkan tidak pernah lagi kehabisan tiket dan tempat duduk sesuai yang diinginkan;['sangat', 'praktis', 'pilih', 'film', 'pilih', 'tempat', 'duduk', 'pesanbener', 'bener', 'menyenangkan', 'tidak', 'pernah', 'lagi', 'kehabisan', 'tiket', 'dan', 'tempat', 'duduk', 'sesuai', 'yang', 'diinginkan']
ga bisa d buka kenapa ya bilangnya jaringan eror padahal jaringan bagus buat bukadownload yg lain di uninstall dan mau install ulang jga ga bsa cma muter aja;['ga', 'bisa', 'd', 'buka', 'kenapa', 'ya', 'bilangnya', 'jaringan', 'eror', 'padahal', 'jaringan', 'bagus', 'buat', 'bukadownload', 'yg', 'lain', 'di', 'uninstall', 'dan', 'mau', 'install', 'ulang', 'jga', 'ga', 'bsa', 'cma', 'muter', 'aja']
ringkas cepat bermanfaat tp terkadang pembayaran via dana sedikit error gangguan mohon diperbaiki overall nice;['ringkas', 'cepat', 'bermanfaat', 'tp', 'terkadang', 'pembayaran', 'via', 'dana', 'sedikit', 'error', 'gangguan', 'mohon', 'diperbaiki', 'overall', 'nice']
ko skrg saya mau buka apk ini sambungan anda tidak aman kenapa begitu ya udah beberapa kali seperti itu saya kira karna paketan data saya pas saya coba pakai wifi tetap gabisa juga dibuka yauda saya coba uninstall dulu deh;['ko', 'skrg', 'saya', 'mau', 'buka', 'apk', 'ini', 'sambungan', 'anda', 'tidak', 'aman', 'kenapa', 'begitu', 'ya', 'udah', 'beberapa', 'kali', 'seperti', 'itu', 'saya', 'kira', 'karna', 'paketan', 'data', 'saya', 'pas', 'saya', 'coba', 'pakai', 'wifi', 'tetap', 'gabisa', 'juga', 'dibuka', 'yauda', 'saya', 'coba', 'uninstall', 'dulu', 'deh']
saya kurangi bintangnya jadi karena makin di update makin gk beres gk bsa dibuka aplikasinya padahal jaringannya bagus dan yg di tulis malah jaringan bermasalah jadinya harus di uninstall lagi kemudian install balek mohon untuk di perbaiki terima kasih;['saya', 'kurangi', 'bintangnya', 'jadi', 'karena', 'makin', 'di', 'update', 'makin', 'gk', 'beres', 'gk', 'bsa', 'dibuka', 'aplikasinya', 'padahal', 'jaringannya', 'bagus', 'dan', 'yg', 'di', 'tulis', 'malah', 'jaringan', 'bermasalah', 'jadinya', 'harus', 'di', 'uninstall', 'lagi', 'kemudian', 'install', 'balek', 'mohon', 'untuk', 'di', 'perbaiki', 'terima', 'kasih']
udh bagus sih kurangnya itu ada biaya tambahan gitu sebesar misalnya di bioskop klo pakek apk ini jadi klo lagi ada promo sih enak ada potongan tapi klo ngga ada itu malah lebih rugi semoga ngga ada biaya tambahan lagi donggg;['udh', 'bagus', 'sih', 'kurangnya', 'itu', 'ada', 'biaya', 'tambahan', 'gitu', 'sebesar', 'misalnya', 'di', 'bioskop', 'klo', 'pakek', 'apk', 'ini', 'jadi', 'klo', 'lagi', 'ada', 'promo', 'sih', 'enak', 'ada', 'potongan', 'tapi', 'klo', 'ngga', 'ada', 'itu', 'malah', 'lebih', 'rugi', 'semoga', 'ngga', 'ada', 'biaya', 'tambahan', 'lagi', 'donggg']
kenapa cobak ngasih bintang aku gitu org nya tapi kesal lagi ada promo promo gini yg gak bisa terbuka lah masalah jaringan sedangkan aplikasi lain bisa terbuka ribett amat dah gak mantap tapi akubmasih baik kasih bintang biar intropeksi aja;['kenapa', 'cobak', 'ngasih', 'bintang', 'aku', 'gitu', 'org', 'nya', 'tapi', 'kesal', 'lagi', 'ada', 'promo', 'promo', 'gini', 'yg', 'gak', 'bisa', 'terbuka', 'lah', 'masalah', 'jaringan', 'sedangkan', 'aplikasi', 'lain', 'bisa', 'terbuka', 'ribett', 'amat', 'dah', 'gak', 'mantap', 'tapi', 'akubmasih', 'baik', 'kasih', 'bintang', 'biar', 'intropeksi', 'aja']
aq kok gak bisa masuk ke tix idditulis disitu sambungan tidak aman trus keluaraq dah instal berkali pun tetap gak bisa jugakgimana solusinya;['aq', 'kok', 'gak', 'bisa', 'masuk', 'ke', 'tix', 'idditulis', 'disitu', 'sambungan', 'tidak', 'aman', 'trus', 'keluaraq', 'dah', 'instal', 'berkali', 'pun', 'tetap', 'gak', 'bisa', 'jugakgimana', 'solusinya']
saya udah lama pake tix id ini tapi kenapa tiba setiap mau buka aplikasi ada tulisan sambungan tidak amanpadahal biasanya bisa mana saldo masih bnyak lg mau dipake gabisa;['saya', 'udah', 'lama', 'pake', 'tix', 'id', 'ini', 'tapi', 'kenapa', 'tiba', 'setiap', 'mau', 'buka', 'aplikasi', 'ada', 'tulisan', 'sambungan', 'tidak', 'amanpadahal', 'biasanya', 'bisa', 'mana', 'saldo', 'masih', 'bnyak', 'lg', 'mau', 'dipake', 'gabisa']
setelah di download tidak bisa dibuka malah ada tulisan sambungan bermaslaah saya tes pake wifi pake data gabisaaa semuaa tolong ini di bantu solusinyaa jika solusi terselesaikan akan saya kasih bintang terima kasih;['setelah', 'di', 'download', 'tidak', 'bisa', 'dibuka', 'malah', 'ada', 'tulisan', 'sambungan', 'bermaslaah', 'saya', 'tes', 'pake', 'wifi', 'pake', 'data', 'gabisaaa', 'semuaa', 'tolong', 'ini', 'di', 'bantu', 'solusinyaa', 'jika', 'solusi', 'terselesaikan', 'akan', 'saya', 'kasih', 'bintang', 'terima', 'kasih']
maaf ya kak sblm nya sya sdah terdaftar ke tix id tp knpa baru ini pas sy selesai instal salah satu bank knpa nda bisa ya mau login ke tix padahal di tix ada promo klo buka atm baru ituu bakal dpt pot rb yg katanya password salah trus nmer salah padahal sy baru aja daftar mnggu kmarin tolong di jawab;['maaf', 'ya', 'kak', 'sblm', 'nya', 'sya', 'sdah', 'terdaftar', 'ke', 'tix', 'id', 'tp', 'knpa', 'baru', 'ini', 'pas', 'sy', 'selesai', 'instal', 'salah', 'satu', 'bank', 'knpa', 'nda', 'bisa', 'ya', 'mau', 'login', 'ke', 'tix', 'padahal', 'di', 'tix', 'ada', 'promo', 'klo', 'buka', 'atm', 'baru', 'ituu', 'bakal', 'dpt', 'pot', 'rb', 'yg', 'katanya', 'password', 'salah', 'trus', 'nmer', 'salah', 'padahal', 'sy', 'baru', 'aja', 'daftar', 'mnggu', 'kmarin', 'tolong', 'di', 'jawab']
kecewa aplikasi nya dikit minta di diperbarui kalau engga di perbarui ga bisa di buka aplikasi nya mohon maaf saya unistal;['kecewa', 'aplikasi', 'nya', 'dikit', 'minta', 'di', 'diperbarui', 'kalau', 'engga', 'di', 'perbarui', 'ga', 'bisa', 'di', 'buka', 'aplikasi', 'nya', 'mohon', 'maaf', 'saya', 'unistal']
